,date,close,volume,keyword
88,2020-08-12,41500,2248457,하나투어
91,2020-08-11,39050,120384,하나투어
92,2020-08-10,39000,120051,하나투어
93,2020-08-07,38600,540515,하나투어
94,2020-08-06,37150,86530,하나투어
95,2020-08-05,36950,72495,하나투어
99,2020-08-04,36900,65189,하나투어
100,2020-08-03,36850,90290,하나투어
101,2020-07-31,37750,38762,하나투어
102,2020-07-30,38100,92682,하나투어
103,2020-07-29,37800,80859,하나투어
106,2020-07-28,37800,97228,하나투어
107,2020-07-27,37250,61438,하나투어
108,2020-07-24,37350,89923,하나투어
109,2020-07-23,38050,106162,하나투어
110,2020-07-22,38400,102528,하나투어
114,2020-07-21,39050,151164,하나투어
115,2020-07-20,37450,67579,하나투어
116,2020-07-17,38100,70224,하나투어
117,2020-07-16,38850,212947,하나투어
118,2020-07-15,37800,175352,하나투어
121,2020-07-14,35950,62809,하나투어
122,2020-07-13,35800,107223,하나투어
123,2020-07-10,36100,74694,하나투어
124,2020-07-09,36750,63014,하나투어
125,2020-07-08,36900,35755,하나투어
129,2020-07-07,36900,69380,하나투어
130,2020-07-06,37500,57194,하나투어
131,2020-07-03,38000,35645,하나투어
132,2020-07-02,38200,37508,하나투어
133,2020-07-01,38100,59908,하나투어
136,2020-06-30,38350,139703,하나투어
137,2020-06-29,36400,45751,하나투어
138,2020-06-26,37200,38536,하나투어
139,2020-06-25,36600,70045,하나투어
140,2020-06-24,37150,71094,하나투어
144,2020-06-23,37400,79957,하나투어
145,2020-06-22,38200,70890,하나투어
146,2020-06-19,39000,54204,하나투어
147,2020-06-18,39350,46628,하나투어
148,2020-06-17,40000,58147,하나투어
151,2020-06-16,40300,65401,하나투어
152,2020-06-15,38850,129268,하나투어
153,2020-06-12,40000,143067,하나투어
154,2020-06-11,41200,110276,하나투어
155,2020-06-10,41750,62929,하나투어
159,2020-06-09,42250,116084,하나투어
160,2020-06-08,42850,159408,하나투어
161,2020-06-05,43050,265035,하나투어
162,2020-06-04,41950,229207,하나투어
163,2020-06-03,41500,155054,하나투어
166,2020-06-02,41100,107116,하나투어
167,2020-06-01,41100,63135,하나투어
168,2020-05-29,40600,53458,하나투어
169,2020-05-28,41050,206307,하나투어
170,2020-05-27,42450,246214,하나투어
174,2020-05-26,41800,192623,하나투어
175,2020-05-25,40100,95323,하나투어
176,2020-05-22,40450,83649,하나투어
177,2020-05-21,41100,97607,하나투어
178,2020-05-20,41500,155783,하나투어
181,2020-05-19,41750,609857,하나투어
182,2020-05-18,39000,278157,하나투어
183,2020-05-15,36700,100124,하나투어
184,2020-05-14,37250,205750,하나투어
185,2020-05-13,38800,123511,하나투어
189,2020-05-12,39700,84878,하나투어
190,2020-05-11,40450,146427,하나투어
191,2020-05-08,41550,113098,하나투어
192,2020-05-07,41450,96663,하나투어
193,2020-05-06,41350,80580,하나투어
196,2020-05-04,41200,102225,하나투어
197,2020-04-29,42400,165477,하나투어
198,2020-04-28,42700,601316,하나투어
199,2020-04-27,40800,76955,하나투어
200,2020-04-24,40350,67124,하나투어
204,2020-04-23,40950,85286,하나투어
205,2020-04-22,40750,69216,하나투어
206,2020-04-21,41000,182702,하나투어
207,2020-04-20,41750,200003,하나투어
208,2020-04-17,40800,198609,하나투어
211,2020-04-16,39950,98660,하나투어
212,2020-04-14,40300,100507,하나투어
213,2020-04-13,40150,223747,하나투어
214,2020-04-10,42150,138780,하나투어
215,2020-04-09,42950,120359,하나투어
219,2020-04-08,41200,214675,하나투어
220,2020-04-07,40150,205954,하나투어
221,2020-04-06,38850,198852,하나투어
222,2020-04-03,37450,89315,하나투어
223,2020-04-02,36900,185771,하나투어
226,2020-04-01,37100,184012,하나투어
227,2020-03-31,37100,101737,하나투어
228,2020-03-30,36550,133274,하나투어
229,2020-03-27,36800,254739,하나투어
230,2020-03-26,36400,475486,하나투어
234,2020-03-25,32100,267156,하나투어
235,2020-03-24,29600,214822,하나투어
236,2020-03-23,28200,154014,하나투어
237,2020-03-20,29200,184452,하나투어
238,2020-03-19,27800,387074,하나투어
241,2020-03-18,36350,140579,하나투어
242,2020-03-17,38850,197623,하나투어
243,2020-03-16,39100,191436,하나투어
244,2020-03-13,41350,337899,하나투어
245,2020-03-12,44200,217981,하나투어
249,2020-03-11,43700,109633,하나투어
250,2020-03-10,45000,168114,하나투어
251,2020-03-09,43700,168665,하나투어
252,2020-03-06,45750,126104,하나투어
253,2020-03-05,46750,226383,하나투어
256,2020-03-04,45050,121131,하나투어
257,2020-03-03,43250,149968,하나투어
258,2020-03-02,42100,188745,하나투어
259,2020-02-28,42300,245778,하나투어
260,2020-02-27,44350,175031,하나투어
264,2020-02-26,45100,138270,하나투어
265,2020-02-25,44850,172257,하나투어
266,2020-02-24,44100,255075,하나투어
267,2020-02-21,45300,211818,하나투어
268,2020-02-20,47000,253783,하나투어
271,2020-02-19,48700,221395,하나투어
272,2020-02-18,50300,94706,하나투어
273,2020-02-17,51100,92162,하나투어
274,2020-02-14,50500,69139,하나투어
275,2020-02-13,51400,212973,하나투어
279,2020-02-12,50000,133903,하나투어
280,2020-02-11,48950,119859,하나투어
281,2020-02-10,48600,78913,하나투어
282,2020-02-07,49000,90313,하나투어
283,2020-02-06,49100,102768,하나투어
286,2020-02-05,48050,99742,하나투어
287,2020-02-04,48150,198678,하나투어
288,2020-02-03,45800,208007,하나투어
289,2020-01-31,44900,148571,하나투어
290,2020-01-30,44950,180252,하나투어
294,2020-01-29,46150,290152,하나투어
295,2020-01-28,44100,672707,하나투어
296,2020-01-23,49100,302391,하나투어
297,2020-01-22,51200,209117,하나투어
298,2020-01-21,52000,186550,하나투어
301,2020-01-20,53300,294115,하나투어
302,2020-01-17,56400,49853,하나투어
303,2020-01-16,56200,73960,하나투어
304,2020-01-15,56500,118913,하나투어
305,2020-01-14,56900,183968,하나투어
309,2020-01-13,56900,238906,하나투어
310,2020-01-10,54200,262993,하나투어
311,2020-01-09,52000,63766,하나투어
312,2020-01-08,50200,93493,하나투어
313,2020-01-07,51400,97147,하나투어
316,2020-01-06,50600,166099,하나투어
317,2020-01-03,52800,108635,하나투어
318,2020-01-02,52800,94327,하나투어
319,2019-12-30,51100,80470,하나투어
320,2019-12-27,51400,96698,하나투어
324,2019-12-26,50500,239995,하나투어
325,2019-12-24,53000,399746,하나투어
326,2019-12-23,51100,92237,하나투어
327,2019-12-20,51200,138427,하나투어
328,2019-12-19,49850,46445,하나투어
