,date,close,open,high,low,volume,keyword
777,2018-10-15,6940.0,7190.0,7190.0,6930.0,471769.0,신풍제약
776,2018-10-16,7250.0,6970.0,7360.0,6970.0,623264.0,신풍제약
775,2018-10-17,7410.0,7360.0,7420.0,7210.0,545770.0,신풍제약
774,2018-10-18,7500.0,7410.0,7540.0,7260.0,614780.0,신풍제약
770,2018-10-19,7590.0,7360.0,7680.0,7350.0,484334.0,신풍제약
769,2018-10-22,7710.0,7530.0,7800.0,7510.0,518361.0,신풍제약
768,2018-10-23,7290.0,7660.0,7660.0,7280.0,446768.0,신풍제약
767,2018-10-24,7150.0,7340.0,7500.0,7130.0,471328.0,신풍제약
766,2018-10-25,7010.0,6900.0,7190.0,6830.0,457313.0,신풍제약
763,2018-10-26,6640.0,7200.0,7200.0,6640.0,501619.0,신풍제약
762,2018-10-29,6100.0,6520.0,6800.0,6080.0,593283.0,신풍제약
761,2018-10-30,6390.0,5910.0,6420.0,5910.0,608259.0,신풍제약
760,2018-10-31,6430.0,6440.0,6480.0,6290.0,232832.0,신풍제약
759,2018-11-01,6540.0,6600.0,6850.0,6530.0,493192.0,신풍제약
755,2018-11-02,6820.0,6650.0,6900.0,6610.0,280496.0,신풍제약
754,2018-11-05,7180.0,7000.0,7350.0,6770.0,1267878.0,신풍제약
753,2018-11-06,7360.0,7240.0,7430.0,7070.0,800483.0,신풍제약
752,2018-11-07,7230.0,7400.0,7540.0,7010.0,814384.0,신풍제약
751,2018-11-08,7230.0,7370.0,7400.0,7220.0,298833.0,신풍제약
748,2018-11-09,7110.0,7250.0,7260.0,7050.0,238756.0,신풍제약
747,2018-11-12,7040.0,7080.0,7220.0,7030.0,197959.0,신풍제약
746,2018-11-13,7230.0,6830.0,7510.0,6810.0,549578.0,신풍제약
745,2018-11-14,7200.0,7190.0,7420.0,7100.0,396539.0,신풍제약
744,2018-11-15,7150.0,7200.0,7260.0,7060.0,208973.0,신풍제약
740,2018-11-16,7120.0,7200.0,7230.0,7120.0,211512.0,신풍제약
739,2018-11-19,7190.0,7110.0,7230.0,7110.0,269667.0,신풍제약
738,2018-11-20,7150.0,7150.0,7310.0,7120.0,311624.0,신풍제약
737,2018-11-21,7210.0,7120.0,7220.0,6990.0,278547.0,신풍제약
736,2018-11-22,7090.0,7350.0,7560.0,7080.0,645377.0,신풍제약
733,2018-11-23,6990.0,7090.0,7180.0,6990.0,245634.0,신풍제약
732,2018-11-26,7020.0,7010.0,7120.0,6970.0,209237.0,신풍제약
731,2018-11-27,7330.0,7080.0,7380.0,6990.0,736433.0,신풍제약
730,2018-11-28,7340.0,7490.0,7630.0,7330.0,954768.0,신풍제약
729,2018-11-29,7350.0,7430.0,7620.0,7340.0,862886.0,신풍제약
725,2018-11-30,7230.0,7330.0,7470.0,7200.0,334023.0,신풍제약
724,2018-12-03,7480.0,7310.0,7550.0,7300.0,883104.0,신풍제약
723,2018-12-04,7270.0,7530.0,7530.0,7260.0,549079.0,신풍제약
722,2018-12-05,7400.0,7100.0,7500.0,7100.0,916466.0,신풍제약
721,2018-12-06,7130.0,7500.0,7780.0,7100.0,3159005.0,신풍제약
718,2018-12-07,7000.0,7220.0,7260.0,6900.0,745150.0,신풍제약
717,2018-12-10,6600.0,6860.0,6970.0,6520.0,833339.0,신풍제약
716,2018-12-11,6380.0,6730.0,6740.0,6360.0,637332.0,신풍제약
715,2018-12-12,6530.0,6400.0,6550.0,6380.0,339891.0,신풍제약
714,2018-12-13,6600.0,6510.0,6680.0,6460.0,369862.0,신풍제약
710,2018-12-14,6420.0,6600.0,6640.0,6380.0,343893.0,신풍제약
709,2018-12-17,6180.0,6390.0,6420.0,6100.0,467062.0,신풍제약
708,2018-12-18,6100.0,6040.0,6180.0,6030.0,432172.0,신풍제약
707,2018-12-19,6180.0,6120.0,6180.0,6040.0,423005.0,신풍제약
706,2018-12-20,6260.0,6140.0,6410.0,6100.0,629592.0,신풍제약
703,2018-12-21,6270.0,6240.0,6380.0,6150.0,375992.0,신풍제약
702,2018-12-24,6190.0,6320.0,6400.0,6190.0,424947.0,신풍제약
701,2018-12-26,6080.0,6040.0,6120.0,5980.0,437720.0,신풍제약
