,date,close,volume,stock
72,2020-08-24,310000.0,814190.0,셀트리온
73,2020-08-21,301000.0,1037558.0,셀트리온
76,2020-08-20,305000.0,1708375.0,셀트리온
77,2020-08-19,304000.0,880282.0,셀트리온
78,2020-08-18,304000.0,1163773.0,셀트리온
79,2020-08-14,304500.0,1037943.0,셀트리온
80,2020-08-13,308500.0,1754825.0,셀트리온
84,2020-08-12,302000.0,1121637.0,셀트리온
85,2020-08-11,314000.0,693402.0,셀트리온
86,2020-08-10,315000.0,1221244.0,셀트리온
87,2020-08-07,314500.0,963799.0,셀트리온
88,2020-08-06,311000.0,832683.0,셀트리온
91,2020-08-05,315000.0,1063211.0,셀트리온
92,2020-08-04,302000.0,891486.0,셀트리온
93,2020-08-03,299000.0,1521548.0,셀트리온
94,2020-07-31,296500.0,823746.0,셀트리온
95,2020-07-30,300000.0,2723830.0,셀트리온
99,2020-07-29,301500.0,1903406.0,셀트리온
100,2020-07-28,317500.0,666062.0,셀트리온
101,2020-07-27,317000.0,507367.0,셀트리온
102,2020-07-24,319000.0,789309.0,셀트리온
103,2020-07-23,322000.0,707386.0,셀트리온
106,2020-07-22,321500.0,748686.0,셀트리온
107,2020-07-21,321500.0,1217900.0,셀트리온
108,2020-07-20,323000.0,1391199.0,셀트리온
109,2020-07-17,328000.0,1241089.0,셀트리온
110,2020-07-16,315000.0,734412.0,셀트리온
114,2020-07-15,316000.0,972746.0,셀트리온
115,2020-07-14,324000.0,842821.0,셀트리온
116,2020-07-13,329000.0,775224.0,셀트리온
117,2020-07-10,324500.0,1042448.0,셀트리온
118,2020-07-09,324000.0,1637528.0,셀트리온
121,2020-07-08,311500.0,709785.0,셀트리온
122,2020-07-07,308500.0,1003857.0,셀트리온
123,2020-07-06,305500.0,759792.0,셀트리온
124,2020-07-03,309500.0,760954.0,셀트리온
125,2020-07-02,308500.0,1134489.0,셀트리온
129,2020-07-01,297500.0,1012051.0,셀트리온
130,2020-06-30,306000.0,1517136.0,셀트리온
131,2020-06-29,311000.0,1323237.0,셀트리온
132,2020-06-26,312500.0,927851.0,셀트리온
133,2020-06-25,316000.0,918369.0,셀트리온
136,2020-06-24,319000.0,1956218.0,셀트리온
137,2020-06-23,318500.0,4485322.0,셀트리온
138,2020-06-22,297000.0,1166332.0,셀트리온
139,2020-06-19,291500.0,1087788.0,셀트리온
140,2020-06-18,287500.0,784181.0,셀트리온
144,2020-06-17,289500.0,1647069.0,셀트리온
145,2020-06-16,293500.0,2041007.0,셀트리온
146,2020-06-15,274000.0,3141867.0,셀트리온
147,2020-06-12,297500.0,3865779.0,셀트리온
148,2020-06-11,288000.0,3934710.0,셀트리온
151,2020-06-10,268500.0,1067682.0,
152,2020-06-09,263500.0,1345656.0,
153,2020-06-08,256000.0,1267019.0,
154,2020-06-05,256500.0,2899453.0,
155,2020-06-04,247000.0,3037387.0,
159,2020-06-03,227500.0,1813508.0,
160,2020-06-02,224500.0,1115810.0,
161,2020-06-01,227500.0,3410255.0,
162,2020-05-29,213500.0,660343.0,
163,2020-05-28,211000.0,716459.0,
166,2020-05-27,213000.0,591712.0,
167,2020-05-26,214500.0,482616.0,
168,2020-05-25,215000.0,371033.0,
169,2020-05-22,216000.0,637408.0,
170,2020-05-21,218500.0,530139.0,
174,2020-05-20,218500.0,661979.0,
175,2020-05-19,213000.0,709054.0,
176,2020-05-18,213000.0,988984.0,
177,2020-05-15,217500.0,827539.0,
178,2020-05-14,217000.0,959332.0,
181,2020-05-13,215000.0,763378.0,
182,2020-05-12,211000.0,982920.0,
183,2020-05-11,210500.0,695048.0,
184,2020-05-08,210500.0,895729.0,
185,2020-05-07,204000.0,402708.0,
189,2020-05-06,207000.0,603987.0,
190,2020-05-04,203500.0,860366.0,
191,2020-04-29,210500.0,654481.0,
192,2020-04-28,209000.0,726697.0,
193,2020-04-27,212500.0,486289.0,
196,2020-04-24,211500.0,1076656.0,
197,2020-04-23,214000.0,634952.0,
198,2020-04-22,214000.0,1123888.0,
199,2020-04-21,212000.0,1791508.0,
200,2020-04-20,212000.0,913363.0,
204,2020-04-17,211000.0,1786490.0,
205,2020-04-16,215000.0,775217.0,
206,2020-04-14,216000.0,1273985.0,
207,2020-04-13,215500.0,3635512.0,
208,2020-04-10,209500.0,1741966.0,
211,2020-04-09,210500.0,1348849.0,
212,2020-04-08,207000.0,1090103.0,
213,2020-04-07,210000.0,2206806.0,
214,2020-04-06,209000.0,2778989.0,
215,2020-04-03,196000.0,4151869.0,
219,2020-04-02,195000.0,8664631.0,
220,2020-04-01,198000.0,5208192.0,
221,2020-03-31,229000.0,11131989.0,
222,2020-03-30,185000.0,937759.0,
223,2020-03-27,184000.0,1927549.0,
0,,,,셀트리온
6,,,,셀트리온
7,,,,셀트리온
8,,,,셀트리온
14,,,,셀트리온
15,,,,셀트리온
21,,,,셀트리온
22,,,,셀트리온
23,,,,셀트리온
29,,,,셀트리온
30,,,,셀트리온
36,,,,셀트리온
37,,,,셀트리온
38,,,,셀트리온
44,,,,셀트리온
45,,,,셀트리온
51,,,,셀트리온
52,,,,셀트리온
53,,,,셀트리온
59,,,,셀트리온
60,,,,셀트리온
66,,,,셀트리온
67,,,,셀트리온
68,,,,셀트리온
74,,,,셀트리온
75,,,,셀트리온
81,,,,셀트리온
82,,,,셀트리온
83,,,,셀트리온
89,,,,셀트리온
90,,,,셀트리온
96,,,,셀트리온
97,,,,셀트리온
98,,,,셀트리온
104,,,,셀트리온
105,,,,셀트리온
111,,,,셀트리온
112,,,,셀트리온
113,,,,셀트리온
119,,,,셀트리온
120,,,,셀트리온
126,,,,셀트리온
127,,,,셀트리온
128,,,,셀트리온
134,,,,셀트리온
135,,,,셀트리온
141,,,,셀트리온
142,,,,셀트리온
143,,,,셀트리온
149,,,,셀트리온
