,title
121,'LCD 세계 1위 주역' 이상완 전 삼성전자 사장 별세
122,"삼성 오디세이 G7 모니터, 美 IT 매체에서 호평"
123,"삼성 오디세이 G7, 美 매체서 ‘완벽한 게이밍 모니터’로 호평"
124,"삼성전자, 2~3일 '삼성 AI 포럼 2020' 개최"
125,<10문10답>삼성 상속세 11조원… ‘가혹한 세금’ 논란
126,'뉴 삼성' 노사 문화 시동…삼성전자 노사 첫 상견례
127,삼성전자 노사 상견례
128,"지마켓·옥션, 삼성 ‘비스포크 냉장고’ 한정판 디자인 판매"
129,"""인간중심 인공지능…삼성전자 비전과 일맥상통"""
130,"지마켓·옥션, 삼성 ‘비스포크 냉장고’ 한정판 디자인 판매"
131,"삼성전자 노사, 첫 상견례…“초일류 기업의 첫걸음은 노동자 존중”"
132,"삼성 오디세이 G7, 美 유명 IT 매체 '탐스 하드웨어'에서 평점 '만점'"
133,삼성전자 노사 주먹인사
134,"삼성 오디세이 G7, 美 IT 매체서 ""완벽한 게이밍 모니터"" 호평"
135,"""인간중심 인공지능…삼성전자 비전과 일맥상통"""
136,"삼성전자, '더 나은 세상을 만들기 위한 인간 중심의 AI 연구' 강조"
137,[눈] 삼성을 떠나며
138,삼성전자 단체교섭 상견례
139,"삼성전자, 제4회 '삼성 AI 포럼 2020' 개최"
140,'무노조 경영' 철폐 6개월 만에… 삼성전자 노사 첫 상견례
141,[눈] 삼성을 떠나며
142,"'삼성 AI 포럼 2020' 2일차 행사, 3일 온라인으로 진행"
143,삼성전자 단체교섭 상견례
144,"삼성전자 오디세이 G7, 외신 호평"
145,"삼성리서치 소장 승현준 ""인공지능으로 더 나은 세상 만들기 고민"""
146,"삼성전자, 제4회 '삼성 AI 포럼 2020' 개최"
147,이건희 회장 주식 상속되면 주식 부호 1~4위 모두 삼성家
148,LCD사업 주도했던 이상완 전 삼성전자 사장 별세
149,삼성전자 노사 오늘 상견례…첫 단체교섭 시작
150,"삼성전자, '더 나은 세상을 만들기 위한 인간 중심 AI 연구' 강조"
151,"삼성전자 노사, 첫 상견례…""새로운 노사관계 기대"""
152,삼성전자 노사 오늘 상견례…첫 단체교섭 시작
153,"승현준 “인간 중심 AI, 삼성 비전과 일맥상통”"
154,삼성 '스마트폰 두뇌' 세계 3위 굳힌다…샤오미·오포에 탑재 추진
155,박수치는 삼성전자 교섭위원
156,'삼성 LCD 세계 1위' 주역 이상완 前 사장 별세
157,"삼성 오디세이 G7, 美 IT매체서 ""완벽한 게이밍 모니터"" 호평"
158,삼성전자 창립 51주년 “이건희 회장의 도전·혁신 DNA 계승”
159,차기 여성사장 1순위 회자…삼성·CJ '유리천장' 깬다
160,삼성전자 노사 첫 본 교섭…교섭위원 활동 등 합의
161,삼성전자 창립 51주년 “이건희 회장의 도전·혁신 DNA 계승”
162,차기 여성사장 1순위 회자…삼성·CJ '유리천장' 깬다
163,"삼성전자, '더 나은 세상 위한 인간 중심의 AI 연구' 강조"
164,"삼성 오디세이G7, 해외서 호평...""게이밍 기능 완벽"""
165,"홍남기, 삼성 상속세 질문에 “검토 여지 있는지 보겠다”"
166,"승현준 소장 ""인간 중심 AI 연구, 삼성 비전과 일맥상통"""
167,"이상완 삼성전자 전 사장 별세, 삼성 LCD사업 이끈 '미스터 LCD'"
168,"삼성전자 51주년 기념식…""이건희 정신 계승하겠다"""
169,함께 입장하는 삼성전자 노사
170,함께 입장하는 삼성전자 노사
171,"승현준 삼성리서치 소장 ""삼성 AI, 더 나은 세상 만들겠다"""
172,"'삼성 비스포크', G마켓·옥션 '빅스마일데이' 에디션 나온다"
173,'LCD 세계 1위' 이끈 이상완 전 삼성전자 사장 별세
174,"[fn사설] 삼성전자, 노사관계에서도 일류 모범 보이길"
175,‘삼성 불법파견 봐주기’ 정현옥 전 노동부 차관 2심도 무죄
176,"삼성, 창립 51주년 기념식 개최…'혁신 DNA 이어가자'"
177,"삼성전자, 창립 51주년 기념식... 이재용 부회장은 불참"
178,삼성이 최첨단 스마트폰 핵심 부품을 중국서 첫 공개하는 이유
179,이건희 회장 사후 주식부호 순위 바뀐다…1~3위 모두 삼성家
180,"삼성 오디세이 G7, 美 IT 매체 ""모든 기능 완벽"" 호평"
